osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,316.66256694496229
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00001811353085,316.66994789673259
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00007922531369,225.41218909915895
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00011732583862,134.76670178716114
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00018642612804,134.74733909878390
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"5","0","0","5",0.00040582997942,145.70855338275663
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"6","0","0","6",0.00045331229191,100.77598386856135
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"7","0","0","7",0.00064931354190,44.72458962789731
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"8","0","0","8",0.00071551475034,314.73012004079669
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"9","0","0","9",0.00074511491927,314.72638037407467
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"10","0","0","10",0.00080991615383,44.72334539226192
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"11","0","0","11",0.00089601667648,134.70629058534658
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"12","0","0","12",0.00095511803010,134.70487973910247
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"13","0","0","13",0.00104001856013,134.70455112427967
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"14","0","0","14",0.00112852059400,134.70036045555716
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"15","0","0","15",0.00123722132996,44.72349356875633
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"16","0","0","16",0.00138792401740,44.72313676677902
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"17","0","0","17",0.00155042512510,134.71648355756943
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"18","0","0","18",0.00182443039877,224.72153945740413
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"19","0","0","19",0.00222263285982,314.65232105200806
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"20","0","0","20",0.00223423329084,314.65361608518378
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"21","0","0","21",0.00266643589377,314.73255368887664
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"22","0","0","22",0.00270053648028,314.74507980194744
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"23","0","0","23",0.00279943693527,224.76693927715317
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"24","0","0","24",0.00281903719037,224.76763655715243
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"25","0","0","25",0.00291873764174,314.73799490599521
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"26","0","0","26",0.00326094408529,44.71746161320832
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"27","0","0","27",0.00352934594818,44.71271314745843
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"28","0","0","28",0.00357694689356,315.38089600016173
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"29","0","0","29",0.00385249981042,316.58630300496611
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"30","0","0","30",0.00390003022174,316.57878056921066
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"31","0","0","31",0.00416898049593,316.55629031054053
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"32","0","0","32",0.00431476972736,46.56507720873704
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"33","0","0","33",0.00457952079913,46.55197298026494
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"34","0","0","34",0.00468958641592,46.55194641518720
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"35","0","0","35",0.00485251784321,136.54556051648407
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"36","0","0","36",0.00502451906413,136.54515032984759
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"37","0","0","37",0.00529457107764,46.55969038526430
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"38","0","0","38",0.00540373723540,46.55503927165286
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"39","0","0","39",0.00559897421960,136.54025442576275
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"40","0","0","40",0.00582350628858,136.61914530371990
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"41","0","0","41",0.00584151073246,136.63492766394148
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"42","0","0","42",0.00590464907264,226.56227465926204
"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"43","0","0","43",0.00600626875579,316.54793833231861
