X,Y,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
173.293516047723,-41.2709109287858,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"25","0","0","25",0.00291873764174,314.73799490599521
173.2934923,-41.2705504,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"26","0","0","26",0.00326094408529,44.71746161320832
173.2937607,-41.2705494,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"27","0","0","27",0.00352934594818,44.71271314745843
173.2937604,-41.2705018,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"28","0","0","28",0.00357694689356,315.38089600016173
173.2934849,-41.2704964,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"29","0","0","29",0.00385249981042,316.58630300496611
173.2934866,-41.2704489,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"30","0","0","30",0.00390003022174,316.57878056921066
173.2932177,-41.2704437,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"31","0","0","31",0.00416898049593,316.55629031054053
173.2932228,-41.270298,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"32","0","0","32",0.00431476972736,46.56507720873704
173.2934875,-41.2703032,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"33","0","0","33",0.00457952079913,46.55197298026494
173.2934913,-41.2701932,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"34","0","0","34",0.00468958641592,46.55194641518720
173.2936542,-41.2701964,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"35","0","0","35",0.00485251784321,136.54556051648407
173.2936483,-41.2703683,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"36","0","0","36",0.00502451906413,136.54515032984759
173.2939183,-41.2703736,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"37","0","0","37",0.00529457107764,46.55969038526430
173.2939221,-41.2702645,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"38","0","0","38",0.00540373723540,46.55503927165286
173.2941173,-41.2702683,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"39","0","0","39",0.00559897421960,136.54025442576275
173.2941096,-41.2704927,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"40","0","0","40",0.00582350628858,136.61914530371990
173.2941276,-41.2704931,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"41","0","0","41",0.00584151073246,136.63492766394148
173.2941254,-41.2705562,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"42","0","0","42",0.00590464907264,226.56227465926204
173.2940238,-41.2705542,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"43","0","0","43",0.00600626875579,316.54793833231861
173.2940248,-41.2705251,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"44","0","0","44",0.00603538593285,316.53926572089421
173.29384242165,-41.2705779371388,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"45","0","0","45",0.00620051694142,316.66256694496229
173.293702,-41.2706881,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"46","0","1","0",0.00620051694142,313.50082766709579
173.2937016,-41.2706768,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"47","0","1","1",0.00621182401886,313.40732816102019
173.2936175,-41.2706785,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"48","0","1","2",0.00629594119901,237.59486371542269
173.2936018,-41.2707102,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"49","0","1","3",0.00633131604883,175.33031483894220
173.2936278,-41.2707464,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"50","0","1","4",0.00637588554512,116.57623224488277
173.2937216,-41.2707445,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"51","0","1","5",0.00646970478622,43.46016848122761
173.2937197,-41.2706878,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"52","0","1","6",0.00652643661151,313.55486591140749
173.293702,-41.2706881,"12799869",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"53","0","1","7",0.00654413915370,313.50082766709579
173.2935756,-41.2723149,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,46.42977814201982
173.2936896,-41.2723169,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00011401754251,136.42928658328216
173.2936835,-41.2725054,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00030261621695,226.45440818628359
173.2935695,-41.2725033,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00041663555741,316.45489974502129
173.2935756,-41.2723149,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00060513428419,46.42977814201982
173.292895,-41.2719087,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"5","1","0","0",0.00060513428419,46.42236487903674
173.2938033,-41.2719251,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"6","1","0","1",0.00151358232896,136.43522913504043
173.2937823,-41.2725802,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"7","1","0","2",0.00216901883237,136.44522964034857
173.2938149,-41.2725808,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"8","1","0","3",0.00220162435337,136.46104166906133
173.2938119,-41.2726728,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"9","1","0","4",0.00229367325342,226.44638557260913
173.2934151,-41.2726657,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"10","1","0","5",0.00269053676901,316.41336232041516
173.2934199,-41.2725131,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"11","1","0","6",0.00284321224182,316.42420623339018
173.2931572,-41.2725083,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"12","1","0","7",0.00310595609047,226.45093269264640
173.2931532,-41.2726318,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"13","1","0","8",0.00322952085082,226.44686541182497
173.2929436,-41.272628,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"14","1","0","9",0.00343915529456,316.43933454861661
173.2929608,-41.2720926,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"15","1","0","10",0.00397483150273,46.43129280264042
173.2931793,-41.2720965,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"16","1","0","11",0.00419336630544,136.43202628637269
173.2931696,-41.2723982,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"17","1","0","12",0.00449522219820,136.43671767482465
173.2933417,-41.2724013,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"18","1","0","13",0.00466735011577,46.42343044838236
173.2933485,-41.2721867,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"19","1","0","14",0.00488205782406,46.42038194510906
173.2934211,-41.272188,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"20","1","0","15",0.00495466946223,46.42362317793158
173.2934267,-41.2720119,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"21","1","0","16",0.00513085848004,316.43348273532206
173.2929774,-41.2720037,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"22","1","0","17",0.00558023330131,226.36512567258069
173.2929768,-41.2720241,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"23","1","0","18",0.00560064212293,226.34547352929039
173.2928914,-41.2720226,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"24","1","0","19",0.00568605529521,316.40829447334897
173.292895,-41.2719087,"12891136",,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,,"25","1","0","20",0.00580001217302,46.42236487903674
173.2844851,-41.2706607,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"0","0","0","0",0.00000000000000,225.77858583225171
173.2844851,-41.2706875,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"1","0","0","1",0.00002680000000,225.37823368871520
173.2841973,-41.2706837,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"2","0","0","2",0.00031462508580,317.87005869052336
173.2842035,-41.2706126,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"3","0","0","3",0.00038599489734,31.06242135658914
173.2842854,-41.2705597,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"4","0","0","4",0.00048349371785,3.20682587112313
173.2841565,-41.2704543,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"5","0","0","5",0.00065000008409,2.16851362297597
173.2842381,-41.2703973,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"6","0","0","6",0.00074953681099,359.99999999531565
173.2841973,-41.2703688,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"7","0","0","7",0.00079930517445,332.12914858625146
173.2841955,-41.2702165,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"8","0","0","8",0.00095161581098,44.52854085650257
173.2843464,-41.2702158,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"9","0","0","9",0.00110251743456,83.77413492691662
173.2846724,-41.2701454,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"10","0","0","10",0.00143603229180,86.49361121023117
173.2847453,-41.270152,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"11","0","0","11",0.00150923044751,149.05651228424881
173.2847045,-41.2702484,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"12","0","0","12",0.00161390900309,214.50300212096477
173.2845704,-41.2703776,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"13","0","0","13",0.00180012245588,229.29539728816397
173.2844247,-41.2704893,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"14","0","0","14",0.00198371270618,178.09565260965553
173.2845942,-41.2706022,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"15","0","0","15",0.00218737090022,154.67474412711428
173.2845881,-41.2706635,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"16","0","0","16",0.00224897365990,228.62000035891097
173.2844851,-41.2706607,,"100025056",MillArce Center,,,,,,,yes,,,,,,,,,,,,,,,,"17","0","0","17",0.00235201171112,225.77858583225171
173.2953778,-41.2708264,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","0","0","0","0",0.00000000000000,47.14216510739054
173.2954598,-41.2708286,,"116605939",Fellworth House,,,,,,,yes,,,,,,,,,,,,,,,"""addr:housename""=>""Fellworth House"",""addr:housenumber""=>""193"",""addr:postcode""=>""Nelson 7010"",""addr:street""=>""Milton Street"",""old_name""=>""Fellworth House""","1","0","0","1",0.00008202950688,137.12777111694004
